Date,Open,High,Low,Close,EMA,RSI,BB_middle,BB_std,BB_upper,BB_lower,MACD,MACD_Signal,MACD_Histogram,USD,DowJones,NASDAQ,SP500,KOSPI,KOSDAQ,Gold,WTI,Treasury5Y,usdkrw,jpykrw,eurkrw
2003-12-29,0.000917105,-0.000249689,-0.010356656,-0.012159554,-0.000314298,-0.419289093,-0.000517609,-0.033585037,-0.001026476,7.42E-06,-0.566411413,-0.261658955,-0.388300952,-0.003195241,0.012138894,0.016896908,0.012400848,0.004550929,0.01849711,0.006063546,-0.013998752,0.020945732,-0.012159553,-0.008945344,-0.00783977
2003-12-30,-0.012161579,-0.002165023,-0.000506351,0.007335025,0.000176957,0.319251128,-8.42E-06,-0.000962417,-2.26E-05,6.22E-06,0.444276148,-0.320611686,-0.095307986,-0.004006846,-0.002388513,0.001694522,0.000144243,0.023055373,0.01861521,0.005062695,0.012037005,0.010568853,0.007335025,0.008213738,0.012561693
2003-12-31,0.007589173,0,0.004728511,-0.004101125,-9.98E-05,-0.126962166,-0.000109469,-0.006371658,-0.000202608,-1.35E-05,-0.347206947,-0.315890234,-0.330616621,-0.000919563,0.002770242,-0.003239004,0.002054747,0,0,-0.002878345,-0.008234248,-0.010150723,-0.004101126,-0.007072516,0.00040017
2004-01-01,-0.002845447,-0.0047568,-0.007059437,-0.006975417,-0.000542706,-0.198810707,-0.000357923,0.007541329,-0.000241161,-0.000478243,-1.924845945,-0.04332834,-0.906165696,0,0,0,0,0,0,0,0,0,-0.006975416,-0.007393382,-0.008933945
2004-01-02,-0.008224968,0.002683275,-0.000930999,0.012017665,0.00026126,0.459332899,0.000467577,0.021475112,0.000780516,0.000145029,-1.149540278,-0.224489827,3.956641729,0,-0.004215673,0.001652245,-0.003093805,0.013013285,0.006017384,0,0,0.040087011,0.012017665,0.014170224,0.01197447
2004-01-05,0.007362337,-0.00167252,-0.001524948,-0.014132818,-0.000670907,-0.279041678,-0.000282095,0.021247086,4.52E-05,-0.000619703,-16.02425598,0.274450813,-1.948102637,-0.009779084,0.012893626,0.020272256,0.012395344,0.003458101,0.002879929,0.02092851,0.038745357,0.0035853,-0.014132818,-0.006359158,-0.005849929
2004-01-06,-0.009576633,-0.003434493,-0.00500596,0.008906608,-5.90E-05,0.24995167,0.00028218,-0.005314852,0.000195275,0.000371869,-0.087013687,0.139885301,-0.350423,-0.005112153,-0.000513099,0.004889288,0.001292147,-0.000813008,-0.011928429,-0.003770042,-0.002368206,-0.03542721,0.008906608,0.009194159,0.011501137
2004-01-07,0.008736259,0.001513028,0.000511723,-0.010593556,-0.000738084,-0.187525709,1.68E-05,-0.002660756,-2.45E-05,5.95E-05,1.111637021,0.429637371,2.500992032,0.006656546,-0.000913767,0.009871736,0.002367165,0.004420534,-0.002682763,-0.002128652,-0.002373947,-0.009259259,-0.010593555,-0.01009289,-0.016394479
2004-01-08,-0.010174134,-0.00696605,-0.003579709,-0.004928661,-0.001005548,-0.090580541,4.63E-05,-0.011565441,-0.000132516,0.000230824,0.662143151,0.532036994,0.770376649,-0.00730855,0.006022412,0.010863111,0.0049631,-0.003530536,-0.0044833,0.004977497,0.010707942,0.01152648,-0.004928661,-0.004962555,0.00477181
2004-01-09,-0.00535162,0.002366505,-0.009751112,0.008795943,-0.000382423,0.267121643,0.000341025,-0.054941282,-0.000500623,0.001209106,0.021761856,0.288217635,-0.170057564,-0.005375704,-0.012608122,-0.006346901,-0.008887606,0.025626403,0.020040531,0.005660363,0.009711624,-0.060671389,0.008795943,0.006075444,0.015919765
2004-01-12,0.009650633,-0.001770637,0.003455127,-0.010581562,-0.001036782,-0.179799668,-0.000467165,0.099006436,0.000964788,-0.001941567,0.336614249,0.306559319,0.370197631,0.005169804,0.002513655,0.011912344,0.004786689,0.006530458,0.011037528,-0.000234536,0.011949868,-0.003278689,-0.010581562,-0.011897251,-0.019686611
